2023-02-06,8
2023-02-07,0
2023-02-08,284
2023-02-09,124
2023-02-10,237
2023-02-11,192
2023-02-12,73
2023-02-13,111
2023-02-14,29
2023-02-15,185
2023-02-16,120
2023-02-17,2
2023-02-18,21
2023-02-19,1
2023-02-20,55
2023-02-21,30
2023-02-22,98
2023-02-23,83
2023-02-24,0
2023-02-25,49
2023-02-26,0
2023-02-27,99
2023-02-28,0
2023-03-01,28
2023-03-02,76
2023-03-03,36
2023-03-04,65
2023-03-05,24
2023-03-06,34
2023-03-07,10
2023-03-08,2
2023-03-09,67
2023-03-10,48
2023-03-11,0
2023-03-12,16
2023-03-13,130
2023-03-14,19
2023-03-15,59
2023-03-16,2
2023-03-17,81
2023-03-18,1
2023-03-19,40
2023-03-20,23
2023-03-21,67
2023-03-22,217
2023-03-23,26
2023-03-24,89
2023-03-25,5
2023-03-26,2
2023-03-27,274
2023-03-28,62
2023-03-29,50
2023-03-30,23
2023-03-31,21
2023-04-01,53
2023-04-02,108
2023-04-03,71
2023-04-04,89
2023-04-05,161
2023-04-06,127
2023-04-07,87
2023-04-08,339
2023-04-09,137
2023-04-10,148
2023-04-11,1
2023-04-12,134
2023-04-13,181
2023-04-14,3
2023-04-15,13
2023-04-16,41
2023-04-17,83
2023-04-18,7
2023-04-19,154
2023-04-20,74
2023-04-21,2
2023-04-22,6
2023-04-23,116
2023-04-24,99
2023-04-25,1
2023-04-26,123
2023-04-27,76
2023-04-28,57
2023-04-29,55
2023-04-30,7
2023-05-01,0
