2023-02-06,7384
2023-02-07,9199
2023-02-08,31469
2023-02-09,13974
2023-02-10,24848
2023-02-11,17557
2023-02-12,13892
2023-02-13,14201
2023-02-14,11568
2023-02-15,22047
2023-02-16,18946
2023-02-17,6203
2023-02-18,9036
2023-02-19,12481
2023-02-20,22870
2023-02-21,14978
2023-02-22,20386
2023-02-23,21656
2023-02-24,9158
2023-02-25,14539
2023-02-26,11918
2023-02-27,21099
2023-02-28,9513
2023-03-01,8296
2023-03-02,14023
2023-03-03,16669
2023-03-04,19003
2023-03-05,9206
2023-03-06,18853
2023-03-07,11755
2023-03-08,8478
2023-03-09,14281
2023-03-10,13210
2023-03-11,7645
2023-03-12,13272
2023-03-13,23308
2023-03-14,15334
2023-03-15,21890
2023-03-16,11442
2023-03-17,14564
2023-03-18,8840
2023-03-19,10840
2023-03-20,10693
2023-03-21,15182
2023-03-22,16453
2023-03-23,5879
2023-03-24,10704
2023-03-25,2752
2023-03-26,9244
2023-03-27,14595
2023-03-28,14031
2023-03-29,18056
2023-03-30,10236
2023-03-31,12661
2023-04-01,17751
2023-04-02,19278
2023-04-03,19216
2023-04-04,16634
2023-04-05,19568
2023-04-06,20071
2023-04-07,9503
2023-04-08,21310
2023-04-09,23392
2023-04-10,20542
2023-04-11,13503
2023-04-12,14862
2023-04-13,23867
2023-04-14,9368
2023-04-15,15886
2023-04-16,25830
2023-04-17,23400
2023-04-18,17451
2023-04-19,11106
2023-04-20,11591
2023-04-21,8024
2023-04-22,16796
2023-04-23,19176
2023-04-24,18305
2023-04-25,17517
2023-04-26,16788
2023-04-27,8791
2023-04-28,16566
2023-04-29,19287
2023-04-30,10756
2023-05-01,10820
